school,salary
Air Force,1700000.0
Akron,620000.0
Alabama,10000000.0
Appalachian State,1500000.0
Arizona,2200000.0
Arizona State,3950000.0
Arkansas,5000000.0
Arkansas State,825000.0
Army,2100000.0
Auburn,6500000.0
BYU,3000000.0
Ball State,600000.0
Baylor,3800000.0
Boise State,1100000.0
Boston College,5000000.0
Bowling Green,600000.0
Buffalo,500000.0
California,4750000.0
Central Michigan,640000.0
Charlotte,900000.0
Cincinnati,3500000.0
Clemson,11500000.0
Coastal Carolina,1000000.0
Colorado,10800000.0
Colorado State,1700000.0
Delaware,536000.0
Duke,3700000.0
East Carolina,500000.0
Eastern Michigan,550000.0
FIU,750000.0
Florida,7400000.0
Florida Atlantic,1000000.0
Florida State,10000000.0
Fresno State,1100000.0
Georgia,13200000.0
Georgia Southern,800000.0
Georgia State,900000.0
Georgia Tech,2800000.0
Hawaii,700008.0
Houston,2000000.0
Illinois,6000000.0
Indiana,3500000.0
Iowa,7000000.0
Iowa State,4000000.0
Jacksonville State,1000000.0
James Madison,550000.0
Kansas,5000000.0
Kansas State,5500000.0
Kennesaw State,500000.0
Kent State,525000.0
Kentucky,8600000.0
LSU,9500000.0
La Tech,950000.0
Liberty,4000000.0
Louisiana,755000.0
Louisville,5100000.0
Marshall,1000000.0
Maryland,4000000.0
Memphis,1915000.0
Miami (FL),8000000.0
Miami (OH),550000.0
Michigan,5500000.0
Michigan State,6000000.0
Middle Tennessee,1000000.0
Minnesota,6000000.0
Mississippi State,4500000.0
Missouri,6250000.0
Missouri State,450000.0
NC State,5000000.0
Navy,600000.0
Nebraska,9000000.0
Nevada,1050000.0
New Mexico,1150000.0
New Mexico State,600000.0
North Carolina,10000000.0
North Texas,1200000.0
Northern Illinois,677000.0
Notre Dame,5000000.0
Ohio,850000.0
Ohio State,12500000.0
Oklahoma,7250000.0
Oklahoma State,7625000.0
Old Dominion,775000.0
Ole Miss,9000000.0
Oregon,10000000.0
Oregon State,2000000.0
Penn State,7000000.0
Pittsburgh,5800000.0
Purdue,6000000.0
Rutgers,6250000.0
SMU,3500000.0
Sam Houston,1250000.0
San Diego State,1750000.0
San Jose State,1500000.0
South Alabama,825000.0
South Carolina,6360000.0
South Florida,2500000.0
Southern Miss,824000.0
Syracuse,3500000.0
TCU,5000000.0
Temple,625000.0
Tennessee,9000000.0
Texas,10600000.0
Texas A&M,7000000.0
Texas State,1000000.0
Texas Tech,4100000.0
Toledo,1100000.0
Troy,900000.0
Tulane,2000000.0
Tulsa,225000.0
UAB,1300000.0
UCF,5000000.0
UCLA,3000000.0
UConn,1500000.0
UL-Monroe,350000.0
UMass,1300000.0
UNLV,3500000.0
USC,10000000.0
UTEP,825000.0
UTSA,2800000.0
Utah,6200000.0
Utah State,1150000.0
Vanderbilt,3051881.0
Virginia,4240000.0
Virginia Tech,4000000.0
Wake Forest,2500000.0
Washington,7500000.0
Washington State,1570000.0
West Virginia,4000000.0
Western Kentucky,900000.0
Western Michigan,850000.0
Wisconsin,5000000.0
Wyoming,1100000.0
